img_name,R,G,B
image2.jpg,123,40,10
image2.jpg,118,35,3
image2.jpg,148,36,14
image2.jpg,151,39,15
image2.jpg,130,16,0
image2.jpg,122,8,0
image2.jpg,132,16,0
image2.jpg,153,38,17
image2.jpg,135,25,10
image2.jpg,109,12,5
image2.jpg,123,48,45
image2.jpg,91,41,40
image2.jpg,27,1,2
image2.jpg,10,1,2
image2.jpg,137,203,219
image2.jpg,137,203,219
image2.jpg,137,203,217
image2.jpg,138,204,218
image2.jpg,138,204,216
image2.jpg,141,205,215
image2.jpg,142,204,215
image2.jpg,145,203,215
image2.jpg,147,203,216
image2.jpg,149,202,216
image2.jpg,151,202,219
image2.jpg,150,203,219
image2.jpg,151,204,222
image2.jpg,149,206,225
image2.jpg,148,206,226
image2.jpg,148,206,226
image2.jpg,149,206,225
image2.jpg,150,207,226
image2.jpg,152,209,226
image2.jpg,153,209,226
image2.jpg,153,209,224
image2.jpg,154,207,223
image2.jpg,153,206,220
image2.jpg,153,206,220
image2.jpg,154,208,220
image2.jpg,155,209,221
image2.jpg,156,210,222
image2.jpg,156,210,222
image2.jpg,156,210,222
image2.jpg,154,210,223
image2.jpg,154,210,223
image2.jpg,155,211,224
image2.jpg,159,211,224
image2.jpg,159,211,224
image2.jpg,159,212,226
image2.jpg,159,212,226
image2.jpg,157,213,226
image2.jpg,157,213,226
image2.jpg,158,214,227
image2.jpg,158,216,228
image2.jpg,158,216,228
image2.jpg,158,216,228
image2.jpg,158,216,227
image2.jpg,158,216,227
image2.jpg,158,216,227
image2.jpg,159,216,227
image2.jpg,160,217,228
image2.jpg,160,217,228
image2.jpg,163,215,236
image2.jpg,163,215,236
image2.jpg,162,215,233
image2.jpg,162,215,233
image2.jpg,163,216,234
image2.jpg,164,215,232
image2.jpg,165,216,233
image2.jpg,168,217,232
image2.jpg,168,217,232
image2.jpg,169,217,231
image2.jpg,171,217,232
image2.jpg,171,217,230
image2.jpg,173,217,230
image2.jpg,175,217,229
image2.jpg,176,218,230
image2.jpg,176,218,230
image2.jpg,173,222,227
image2.jpg,172,221,226
image2.jpg,171,218,224
image2.jpg,173,218,224
image2.jpg,174,218,227
image2.jpg,173,220,228
image2.jpg,171,219,229
image2.jpg,169,219,228
image2.jpg,167,221,231
image2.jpg,169,223,233
image2.jpg,167,221,233
image2.jpg,173,225,238
image2.jpg,184,231,247
image2.jpg,182,225,242
image2.jpg,175,213,232
image2.jpg,177,212,232
image2.jpg,182,216,225
image2.jpg,188,223,229
image2.jpg,184,217,224
image2.jpg,179,212,219
image2.jpg,184,215,220
image2.jpg,191,220,226
image2.jpg,190,219,223
image2.jpg,180,208,211
image2.jpg,189,214,218
image2.jpg,202,223,226
image2.jpg,193,214,215
image2.jpg,182,202,203
image2.jpg,183,201,201
image2.jpg,194,210,210
image2.jpg,202,218,217
image2.jpg,197,213,212
image2.jpg,184,214,214
image2.jpg,187,216,214
image2.jpg,183,209,206
image2.jpg,190,212,209
image2.jpg,193,212,206
image2.jpg,198,211,202
image2.jpg,192,200,189
image2.jpg,205,205,193
image2.jpg,209,202,186
image2.jpg,173,161,139
image2.jpg,165,145,118
image2.jpg,170,144,109
image2.jpg,125,94,50
image2.jpg,111,78,25
image2.jpg,138,102,44
image2.jpg,96,58,0
image2.jpg,80,30,0
image2.jpg,98,46,9
image2.jpg,104,50,14
image2.jpg,87,28,0
image2.jpg,90,27,0
image2.jpg,118,52,20
image2.jpg,96,22,0
image2.jpg,100,23,0
image2.jpg,99,15,0
image2.jpg,127,39,17
image2.jpg,124,32,11
image2.jpg,140,46,21
image2.jpg,135,37,10
image2.jpg,116,17,0
image2.jpg,137,38,6
image2.jpg,131,31,0
image2.jpg,130,19,0
image2.jpg,150,40,7
image2.jpg,174,61,27
image2.jpg,168,51,16
image2.jpg,165,46,12
image2.jpg,162,41,12
image2.jpg,145,26,4
image2.jpg,134,24,11
image2.jpg,135,42,35
image2.jpg,69,0,0
